key,id,class,counter,order,limit,cruc,wforce,alloc,branch,scaling
building_chemical_plants,49,6,FALSE,6,5,dc,TRUE,FALSE,TRUE,TRUE
building_synthetics_plant,50,6,36,12,5,dc,TRUE,FALSE,TRUE,TRUE
building_steelworks,51,6,FALSE,6,5,dc,TRUE,FALSE,TRUE,TRUE
building_aluminum_refinery,52,6,FALSE,6,5,dc,TRUE,FALSE,TRUE,TRUE
building_motor_industry,53,6,FALSE,7,5,dc,TRUE,FALSE,TRUE,TRUE
building_automobile_manufactories,54,6,FALSE,8,5,dc,TRUE,FALSE,TRUE,TRUE
building_shipyards,55,6,FALSE,8,5,dc,TRUE,FALSE,TRUE,TRUE
building_drydocks,56,6,FALSE,8,5,dc,TRUE,FALSE,TRUE,TRUE
building_electronics_manufactories,57,6,FALSE,7,5,dc,TRUE,FALSE,TRUE,TRUE
building_combustion_plant,58,6,FALSE,4,5,dc,TRUE,FALSE,TRUE,TRUE
building_nuclear_power_plant,59,6,58,4,5,dc,TRUE,FALSE,TRUE,TRUE
building_solar_power_plant,60,6,58,4,5,dc,TRUE,FALSE,TRUE,TRUE
building_wind_power_plant,61,6,58,4,5,dc,TRUE,FALSE,TRUE,TRUE
building_hydro_power_plant,62,6,58,4,5,dc,TRUE,FALSE,TRUE,TRUE
building_geothermal_power_plant,63,6,58,4,5,dc,TRUE,FALSE,TRUE,TRUE
building_small_arms_manufactories,64,6,FALSE,7,5,dc,TRUE,FALSE,TRUE,TRUE
building_munition_plants,65,6,FALSE,7,5,dc,TRUE,FALSE,TRUE,TRUE
building_fuel_refineries,66,6,FALSE,5,5,dc,TRUE,FALSE,TRUE,TRUE
building_semiconductor_manufactories,67,6,FALSE,6,5,dc,TRUE,FALSE,TRUE,TRUE
building_advanced_military_manufactories,68,6,FALSE,8,5,dc,TRUE,FALSE,TRUE,TRUE
building_aircraft_manufactories,69,6,FALSE,8,5,dc,TRUE,FALSE,TRUE,TRUE
building_uranium_refineries,70,6,FALSE,5,5,dc,TRUE,FALSE,TRUE,TRUE
building_battery_manufactories,71,6,FALSE,5,5,dc,TRUE,FALSE,TRUE,TRUE
building_pharmaceutical_industry,72,6,FALSE,5,5,dc,TRUE,FALSE,TRUE,TRUE
building_computer_manufactories,73,6,FALSE,5,5,dc,TRUE,FALSE,TRUE,TRUE
building_household_appliance_manufactories,74,6,FALSE,8,5,dc,TRUE,FALSE,TRUE,TRUE
building_telecommunications,75,6,FALSE,7,5,dc,TRUE,FALSE,TRUE,TRUE
building_tourism_industry,76,6,13,15,5,dc,TRUE,FALSE,TRUE,TRUE
building_financial_services,77,6,FALSE,8,5,dc,TRUE,FALSE,TRUE,TRUE
building_media_industry,78,6,FALSE,15,5,dc,TRUE,FALSE,TRUE,TRUE
building_hospitals,79,6,FALSE,8,5,3,TRUE,FALSE,TRUE,TRUE
